hierarchy_id,child_type,parent_type,is_exact,is_direct,listing,charting,mapping,filtering,countries
101,OA,LSOA,1,1,1,1,1,1,ENSW
102,OA,MSOA,1,0,1,1,1,1,ESW
103,OA,LAD,1,0,1,0,1,1,ENSW
104,OA,CTY,1,0,0,0,0,0,E
107,OA,PCS,1,0,0,0,1,0,ENSW
108,OA,PCD,1,0,0,0,1,0,ENSW
110,OA,PCA,1,0,0,0,0,0,ENSW
112,OA,WARD,1,0,0,0,1,0,ENSW
201,LSOA,MSOA,1,1,1,1,1,1,ESW
202,LSOA,LAD,1,0,1,0,1,1,ENSW
203,LSOA,CTY,1,0,0,0,1,0,E
206,LSOA,PCS,0,0,0,0,1,0,ENSW
207,LSOA,PCD,0,0,0,0,1,0,ENSW
209,LSOA,PCA,0,0,0,0,0,0,ENSW
211,LSOA,WARD,0,0,0,0,1,0,ENSW
301,MSOA,LAD,1,1,1,1,1,1,ESW
302,MSOA,CTY,1,0,1,1,1,1,E
305,MSOA,PCD,0,0,0,0,1,0,ENSW
307,MSOA,PCA,0,0,0,0,0,0,ENSW
309,MSOA,WARD,0,0,0,0,1,0,ENSW
401,LAD,CTY,1,1,1,1,1,1,E
404,LAD,PCA,0,0,0,0,0,0,ENSW
1001,PCS,PCD,1,1,1,1,1,1,ENSW
1003,PCS,PCA,1,0,0,0,1,1,ENSW
1004,PCS,LAD,0,0,0,0,1,1,ENSW
1005,PCS,CTY,0,0,0,0,1,1,ENSW
1012,PCD,PCA,1,0,1,1,1,1,ENSW
1013,PCD,LAD,0,0,0,0,1,1,ENSW
1014,PCD,CTY,0,0,0,0,1,1,ENSW
1111,WARD,LAD,1,0,1,1,1,1,ENSW
1112,WARD,CTY,1,0,0,0,1,1,ENSW
1231,WPZ,MSOA,1,1,1,1,1,1,ESW
1232,WPZ,LAD,1,0,1,0,1,1,ENSW
1233,WPZ,CTY,1,0,0,0,1,0,E
1236,WPZ,PCS,0,0,0,0,1,0,ENSW
1237,WPZ,PCD,0,0,0,0,1,0,ENSW
1239,WPZ,PCA,0,0,0,0,0,0,ENSW
1241,WPZ,WARD,0,0,0,0,1,0,ENSW
